symbol,cik,name,sector,exchange
JPM,19617,JPMORGAN CHASE & CO,Financials,NYSE
BRK-B,1067983,BERKSHIRE HATHAWAY INC,Financials,NYSE
BAC,70858,BANK OF AMERICA CORP /DE/,Financials,NYSE
GOOGL,1652044,Alphabet Inc.,Information Technology,Nasdaq
C,831001,CITIGROUP INC,Financials,NYSE
MET,1099219,METLIFE INC,Financials,NYSE
PRU,1137774,PRUDENTIAL FINANCIAL INC,Financials,NYSE
T,732717,AT&T INC.,Communication Services,NYSE
VZ,732712,VERIZON COMMUNICATIONS INC,Communication Services,NYSE
UNH,731766,UNITEDHEALTH GROUP INC,Health Care,NYSE
WMT,104169,Walmart Inc.,Consumer Discretionary,Nasdaq
COF,927628,CAPITAL ONE FINANCIAL CORP,Financials,NYSE
CVS,64803,CVS HEALTH Corp,Consumer Discretionary,NYSE
CVX,93410,CHEVRON CORP,Energy,NYSE
GM,1467858,General Motors Co,Consumer Discretionary,NYSE
USB,36104,US BANCORP DE,Financials,NYSE
APO,1858681,"Apollo Global Management, Inc.",Financials,NYSE
CB,896159,Chubb Ltd,Financials,NYSE
DIS,1744489,Walt Disney Co,Communication Services,NYSE
PNC,713676,"PNC FINANCIAL SERVICES GROUP, INC.",Financials,NYSE
SCHW,316709,SCHWAB CHARLES CORP,Financials,NYSE
PFE,78003,PFIZER INC,Health Care,NYSE
CI,1739940,Cigna Group,Health Care,NYSE
BNY,1390777,Bank of New York Mellon Corp,Financials,NYSE
BA,12927,BOEING CO,Industrials,NYSE
ORCL,1341439,ORACLE CORP,Information Technology,NYSE
NVDA,1045810,NVIDIA CORP,Information Technology,Nasdaq
KKR,1404912,KKR & Co. Inc.,Financials,NYSE
CHTR,1091667,"CHARTER COMMUNICATIONS, INC. /MO/",Communication Services,Nasdaq
IBM,51143,INTERNATIONAL BUSINESS MACHINES CORP,Industrials,NYSE
ET,1276187,Energy Transfer LP,Utilities,NYSE
TSLA,1318605,"Tesla, Inc.",Consumer Discretionary,Nasdaq
ELV,1156039,"Elevance Health, Inc.",Health Care,NYSE
PG,80424,PROCTER & GAMBLE Co,Materials,NYSE
ABBV,1551152,AbbVie Inc.,Health Care,NYSE
AIG,5272,"AMERICAN INTERNATIONAL GROUP, INC.",Financials,NYSE
TRV,86312,"TRAVELERS COMPANIES, INC.",Financials,NYSE
STT,93751,STATE STREET CORP,Financials,NYSE
PGR,80661,PROGRESSIVE CORP/OH/,Financials,NYSE
MRK,310158,"Merck & Co., Inc.",Health Care,NYSE
SO,92122,SOUTHERN CO,Utilities,NYSE
COP,1163165,CONOCOPHILLIPS,Energy,NYSE
ALL,899051,ALLSTATE CORP,Financials,NYSE
AMP,820027,AMERIPRISE FINANCIAL INC,Financials,NYSE
GE,40545,GENERAL ELECTRIC CO,Information Technology,NYSE
PEP,77476,PEPSICO INC,Consumer Staples,Nasdaq
PCG,1004980,PG&E Corp,Utilities,NYSE
DELL,1571996,Dell Technologies Inc.,Information Technology,NYSE
DE,315189,DEERE & CO,Industrials,NYSE
KO,21344,COCA COLA CO,Consumer Staples,NYSE
CAT,18230,CATERPILLAR INC,Industrials,NYSE
LLY,59478,ELI LILLY & Co,Health Care,NYSE
FCNCA,798941,FIRST CITIZENS BANCSHARES INC /DE/,Financials,Nasdaq
EXC,1109357,EXELON CORP,Utilities,Nasdaq
BMY,14272,BRISTOL MYERS SQUIBB CO,Health Care,NYSE
CNC,1071739,CENTENE CORP,Health Care,NYSE
COST,909832,COSTCO WHOLESALE CORP /NEW,Consumer Discretionary,Nasdaq
CFG,759944,CITIZENS FINANCIAL GROUP INC/RI,Financials,NYSE
AEP,4904,AMERICAN ELECTRIC POWER CO INC,Utilities,Nasdaq
COR,1140859,"Cencora, Inc.",Health Care,NYSE
AFL,4977,AFLAC INC,Financials,NYSE
D,715957,"DOMINION ENERGY, INC",Utilities,NYSE
KEY,91576,KEYCORP /NEW/,Financials,NYSE
HIG,874766,"HARTFORD INSURANCE GROUP, INC.",Financials,NYSE
NTRS,73124,NORTHERN TRUST CORP,Financials,Nasdaq
PYPL,1633917,"PayPal Holdings, Inc.",Information Technology,Nasdaq
EIX,827052,EDISON INTERNATIONAL,Utilities,NYSE
OXY,797468,OCCIDENTAL PETROLEUM CORP /DE/,Energy,NYSE
SRE,1032208,SEMPRA,Utilities,NYSE
HPE,1645590,Hewlett Packard Enterprise Co,Industrials,NYSE
CME,1156375,CME GROUP INC.,Financials,Nasdaq
ACN,1467373,Accenture plc,Information Technology,NYSE
MDLZ,1103982,"Mondelez International, Inc.",Consumer Staples,Nasdaq
FISV,798354,FISERV INC,Information Technology,Nasdaq
RJF,720005,RAYMOND JAMES FINANCIAL INC,Financials,NYSE
HCA,860730,"HCA Healthcare, Inc.",Health Care,NYSE
ADP,8670,AUTOMATIC DATA PROCESSING INC,Information Technology,Nasdaq
LMT,936468,LOCKHEED MARTIN CORP,Industrials,NYSE
ACGL,947484,ARCH CAPITAL GROUP LTD.,Financials,Nasdaq
CAH,721371,CARDINAL HEALTH INC,Health Care,NYSE
PLD,1045609,"Prologis, Inc.",Real Estate,NYSE
UBER,1543151,"Uber Technologies, Inc",Information Technology,NYSE
GD,40533,GENERAL DYNAMICS CORP,Industrials,NYSE
DOW,1751788,DOW INC.,Materials,NYSE
ED,1047862,CONSOLIDATED EDISON INC,Utilities,NYSE
ADM,7084,Archer-Daniels-Midland Co,Consumer Staples,NYSE
KMI,1506307,"KINDER MORGAN, INC.",Utilities,NYSE
NFLX,1065280,NETFLIX INC,Communication Services,Nasdaq
MCD,63908,MCDONALDS CORP,Consumer Discretionary,NYSE
QCOM,804328,QUALCOMM INC/DE,Information Technology,Nasdaq
HUM,49071,HUMANA INC,Health Care,NYSE
FCX,831259,FREEPORT-MCMORAN INC,Materials,NYSE
FANG,1539838,"Diamondback Energy, Inc.",Energy,Nasdaq
CEG,1868275,Constellation Energy Corp,Utilities,Nasdaq
ETR,65984,ENTERGY CORP /DE/,Utilities,NYSE
NOC,1133421,NORTHROP GRUMMAN CORP /DE/,Health Care,NYSE
MA,1141391,Mastercard Inc,Information Technology,NYSE
